Ville,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
C1,0,20,24,35,40,30,36,50,55,32,45,60,48,52,65
C2,20,0,18,28,32,26,30,44,48,26,38,52,42,46,58
C3,24,18,0,22,30,24,28,40,44,24,36,48,40,44,56
C4,35,28,22,0,20,26,24,34,38,30,34,44,38,40,52
C5,40,32,30,20,0,18,26,30,34,32,36,40,38,36,48
C6,30,26,24,26,18,0,16,26,30,22,26,36,32,34,44
C7,36,30,28,24,26,16,0,20,26,20,22,32,30,32,40
C8,50,44,40,34,30,26,20,0,22,24,26,30,28,30,36
C9,55,48,44,38,34,30,26,22,0,20,22,28,26,28,34
C10,32,26,24,30,32,22,20,24,20,0,18,26,24,26,32
C11,45,38,36,34,36,26,22,26,22,18,0,22,20,22,28
C12,60,52,48,44,40,36,32,30,28,26,22,0,18,20,26
C13,48,42,40,38,38,32,30,28,26,24,20,18,0,14,18
C14,52,46,44,40,36,34,32,30,28,26,22,20,14,0,16
C15,65,58,56,52,48,44,40,36,34,32,28,26,18,16,0

